City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,San Quintin,30.4833,-115.95,70.23,79,82,8.23,MX,2022-08-29 15:18:42
188,Victor Harbor,-35.5667,138.6167,53.01,87,59,22.82,AU,2022-08-29 15:18:42
189,Hasaki,35.7333,140.8333,68.4,90,100,15.23,JP,2022-08-29 15:18:42
190,Ongole,15.5,80.05,84.13,75,97,7.83,IN,2022-08-29 15:16:28
191,Vardo,70.3705,31.1107,46.38,76,75,26.46,NO,2022-08-29 15:18:43
192,Yerbogachen,61.2767,108.0108,45.09,95,100,15.01,RU,2022-08-29 15:18:43
193,Muncar,-8.4333,114.3333,75.07,91,86,5.03,ID,2022-08-29 15:18:43
194,Port Hardy,50.6996,-127.4199,60.98,88,75,8.05,CA,2022-08-29 15:16:02
195,Pokhara,28.2333,83.9833,72.79,89,83,2.37,NP,2022-08-29 15:18:44
196,High Level,58.5169,-117.136,48.31,100,40,2.3,CA,2022-08-29 15:15:12
197,Tongchuan,35.0806,109.0897,59.67,97,100,3.56,CN,2022-08-29 15:18:44
198,Praia,14.9215,-23.5087,84.74,65,75,23.02,CV,2022-08-29 15:18:44
199,Esperance,-33.8667,121.9,49.28,72,8,5.59,AU,2022-08-29 15:18:44
200,Oussouye,12.485,-16.5469,84.38,75,100,6.24,SN,2022-08-29 15:18:45
201,Ketchikan,55.3422,-131.6461,59.47,94,100,10.36,US,2022-08-29 15:18:45
202,Port Alfred,-33.5906,26.891,54.18,90,100,5.99,ZA,2022-08-29 15:18:45
203,Bismarck,46.8083,-100.7837,67.42,56,0,19.57,US,2022-08-29 15:18:46
204,Mayo,38.8876,-76.5119,88.5,81,20,9.22,US,2022-08-29 15:18:46
205,Kasaragod,12.5,75.0,78.12,91,100,8.3,IN,2022-08-29 15:18:46
206,Soe,-9.8607,124.284,64.08,94,30,4.21,ID,2022-08-29 15:18:47
207,Megion,61.0296,76.1136,44.62,68,60,6.82,RU,2022-08-29 15:18:47
208,Sao Joao Da Barra,-21.6403,-41.0511,73.49,72,89,21.25,BR,2022-08-29 15:18:47
209,Tucuma,-0.1833,-50.05,88.48,57,70,5.5,BR,2022-08-29 15:18:48
210,Sorland,67.667,12.6934,51.66,77,100,14.45,NO,2022-08-29 15:18:48
211,Anadyr,64.75,177.4833,52.3,93,40,6.71,RU,2022-08-29 15:18:48
212,Nuevo Progreso,23.1667,-97.95,82.54,70,100,9.1,MX,2022-08-29 15:18:49
213,Chuy,-33.6971,-53.4616,52.16,57,5,6.73,UY,2022-08-29 15:18:49
214,Saint-Joseph,-21.3667,55.6167,71.98,83,69,1.79,RE,2022-08-29 15:18:43
215,Banda Aceh,5.5577,95.3222,77.36,87,100,10.56,ID,2022-08-29 15:18:49
216,Chitral,35.8462,71.7858,75.31,61,11,4.61,PK,2022-08-29 15:18:49
217,Hwange,-18.3693,26.5019,87.48,19,0,8.28,ZW,2022-08-29 15:18:50
218,Kahului,20.8947,-156.47,77.85,77,20,6.91,US,2022-08-29 15:18:50
219,Ferkessedougou,9.6,-5.2,79.7,76,93,7.05,CI,2022-08-29 15:18:50
220,Lorengau,-2.0226,147.2712,81.23,82,64,11.48,PG,2022-08-29 15:18:51
221,Pevek,69.7008,170.3133,38.75,80,99,5.26,RU,2022-08-29 15:18:51
222,Belyy Yar,53.6039,91.3903,64.29,59,0,8.95,RU,2022-08-29 15:18:51
