City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Sitka,US,57.0531,-135.33,57.09,72,75,6.91,broken clouds
195,Samarai,PG,-10.6167,150.6667,79.11,83,82,9.22,broken clouds
196,Naze,JP,28.3667,129.4833,81.52,86,46,21.52,scattered clouds
197,Pedernales,DO,18.0384,-71.744,83.48,72,29,4.43,scattered clouds
198,Tuatapere,NZ,-46.1333,167.6833,49.44,96,85,1.83,overcast clouds
199,Male,MV,4.1748,73.5089,78.75,89,75,16.08,broken clouds
200,Huixtla,MX,15.15,-92.4667,80.28,74,65,4.68,broken clouds
201,Sinnamary,GF,5.3833,-52.95,84.76,69,63,12.55,broken clouds
202,Pangnirtung,CA,66.1451,-65.7125,51.8,58,100,18.41,overcast clouds
203,Riviere-Au-Renard,CA,48.9957,-64.3971,73.69,51,2,13.22,clear sky
204,Berlevag,NO,70.8578,29.0864,46.4,71,100,14.97,overcast clouds
205,Port Hardy,CA,50.6996,-127.4199,55.4,100,75,2.3,mist
206,Nador,MA,35.174,-2.9287,91.65,27,0,4.61,light rain
207,Berea,US,41.3662,-81.8543,82.85,58,20,4.61,few clouds
208,Saint-Pierre,RE,-21.3393,55.4781,68.92,80,0,3.44,clear sky
209,Maldonado,UY,-34.6667,-54.9167,59.23,89,100,2.35,overcast clouds
210,Maniitsoq,GL,65.4167,-52.9,44.83,62,100,11.23,overcast clouds
211,Cruz Alta,BR,-28.6386,-53.6064,74.77,64,2,12.82,clear sky
212,Vila Velha,BR,-20.3297,-40.2925,75.15,69,20,11.5,few clouds
213,Tasiilaq,GL,65.6145,-37.6368,50.16,75,1,3.33,clear sky
214,Trat,TH,12.5,102.5,83.88,92,36,1.5,scattered clouds
215,Te Anau,NZ,-45.4167,167.7167,50.4,94,99,1.57,overcast clouds
216,Novoagansk,RU,61.9449,76.6625,42.19,79,99,6.38,overcast clouds
217,Batemans Bay,AU,-35.7167,150.1833,57.09,87,99,7.11,overcast clouds
218,Aksha,RU,50.2814,113.2867,51.44,72,6,3.87,clear sky
219,Orbe,CH,46.725,6.5307,72.91,57,87,7.14,overcast clouds
220,Bedele,ET,8.456,36.353,55.54,96,78,3.2,light rain
221,Yakeshi,CN,49.2833,120.7333,48.94,45,4,4.79,clear sky
222,Dunedin,NZ,-45.8742,170.5036,49.8,91,100,3.67,overcast clouds
223,Nizhniy Odes,RU,63.6445,54.856,43.56,96,100,11.07,light rain
224,Robertson,US,36.5167,-86.8667,85.75,46,0,4.61,clear sky
225,Guanica,PR,17.9716,-66.908,90.7,75,19,5.61,light rain
226,Dingtao,CN,35.0683,115.5625,68.5,84,51,4.14,broken clouds
227,Marawi,PH,7.9986,124.2928,69.21,91,99,4.9,overcast clouds
228,Kutum,SD,14.2,24.6667,86.32,30,26,6.26,scattered clouds
229,Hilton Head Island,US,32.2163,-80.7526,85.98,85,40,4.0,scattered clouds
230,Robertsport,LR,6.7533,-11.3686,77.63,79,100,13.31,light rain
231,Komsomolskiy,UZ,40.4272,71.7189,74.12,43,0,4.61,clear sky
232,Nouadhibou,MR,20.931,-17.0347,85.98,79,20,9.22,few clouds
233,Skibbereen,IE,51.55,-9.2667,63.5,70,67,3.0,broken clouds
234,Tahoua,NE,14.8888,5.2692,69.78,94,20,20.71,thunderstorm with heavy rain
235,Krasnogvardeyets,RU,52.6804,52.3635,70.97,59,100,3.8,light rain
236,Zhongshu,CN,24.5167,103.7667,62.89,94,100,3.24,overcast clouds
237,Santa Barbara,US,34.7333,-120.0343,106.34,12,71,3.56,broken clouds
238,Lasa,IT,46.6166,10.7002,70.68,78,97,2.42,overcast clouds
239,Hamilton,US,39.1834,-84.5333,88.21,51,40,1.01,scattered clouds
240,Madimba,TZ,-10.4,40.3333,73.8,73,1,19.42,clear sky
241,Juneau,US,58.3019,-134.4197,56.21,96,100,6.91,light rain
242,Eldorado,BR,-23.7869,-54.2836,84.54,35,0,12.35,clear sky
243,Tezu,IN,27.9167,96.1667,75.87,97,97,2.66,overcast clouds
244,Jiaozuo,CN,35.2397,113.2331,72.37,61,85,4.12,overcast clouds
245,Udachnyy,RU,66.4167,112.4,39.45,86,100,3.31,overcast clouds
246,Mashhad,IR,36.297,59.6062,73.54,33,0,6.91,clear sky
247,Vila Franca Do Campo,PT,37.7167,-25.4333,79.21,73,100,3.36,overcast clouds
248,Tessalit,ML,20.1986,1.0114,102.97,10,87,2.3,overcast clouds
249,Tautira,PF,-17.7333,-149.15,76.68,78,86,16.33,light rain
250,Ayotzintepec,MX,17.6667,-96.1333,87.82,56,83,4.76,broken clouds
251,Lerwick,GB,60.1545,-1.1494,57.2,76,90,7.63,overcast clouds
252,Batagay,RU,67.6333,134.6333,49.01,78,100,10.69,light rain
253,Mentakab,MY,3.4865,102.3516,74.52,97,47,0.43,scattered clouds
254,Gushikawa,JP,26.3544,127.8686,81.63,88,70,18.63,broken clouds
255,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,14.97,scattered clouds
256,Verkhnyaya Inta,RU,65.9811,60.3094,46.62,60,100,13.38,overcast clouds
257,Faya,SA,18.3851,42.4509,75.72,31,40,12.1,scattered clouds
258,Qui Nhon,VN,13.7667,109.2333,79.83,86,18,4.12,few clouds
259,Matagami,CA,49.7502,-77.6328,50.11,71,75,13.8,broken clouds
260,Horadiz,AZ,39.4488,47.3353,77.77,38,0,4.68,clear sky
261,Inver Grove Heights,US,44.848,-93.0427,87.35,58,0,5.75,clear sky
262,Tiksi,RU,71.6872,128.8694,39.83,91,100,23.04,overcast clouds
263,Nago,JP,26.5881,127.9761,80.46,83,60,15.86,broken clouds
264,Kalmunai,LK,7.4167,81.8167,80.01,78,100,0.87,overcast clouds
265,Ishigaki,JP,24.3448,124.1572,82.53,94,75,23.02,broken clouds
266,Inhambane,MZ,-23.865,35.3833,65.23,64,73,8.12,broken clouds
267,Lubango,AO,-14.9172,13.4925,68.02,47,55,7.56,broken clouds
268,Ulaangom,MN,49.9811,92.0667,59.56,53,74,5.21,broken clouds
269,Sambava,MG,-14.2667,50.1667,70.45,86,0,10.94,clear sky
270,Chuy,UY,-33.6971,-53.4616,65.66,66,98,5.97,moderate rain
271,Norden,DE,53.6,7.2,72.95,46,23,17.45,few clouds
272,Tocopilla,CL,-22.092,-70.1979,64.72,63,4,12.17,clear sky
273,Kilifi,KE,-3.6305,39.8499,74.48,82,7,18.84,clear sky
274,Bosobolo,CD,4.1833,19.9,70.72,97,98,5.57,light rain
275,Coahuayana,MX,18.7333,-103.6833,88.84,62,80,1.92,broken clouds
276,Pisco,PE,-13.7,-76.2167,64.45,68,0,11.5,clear sky
277,Minchinabad,PK,30.163,73.5685,90.23,43,2,5.53,clear sky
278,Yaan,NG,7.3833,8.5667,72.7,93,100,7.25,moderate rain
279,Hunchun,CN,42.8675,130.3581,50.45,74,0,3.96,clear sky
280,Shieli,KZ,44.1667,66.75,81.81,13,0,6.8,clear sky
281,Manuk Mangkaw,PH,4.8,119.85,83.82,69,57,5.84,broken clouds
282,Xingyi,CN,24.1877,102.817,62.28,94,90,2.64,overcast clouds
283,Coihaique,CL,-45.5752,-72.0662,49.95,46,40,9.22,scattered clouds
284,The Valley,AI,18.217,-63.0578,89.46,62,20,13.8,few clouds
285,Minab,IR,27.1467,57.0801,89.92,58,0,0.0,haze
286,Ozernovskiy,RU,51.5,156.5167,55.22,84,100,3.58,overcast clouds
287,Vallenar,CL,-28.5708,-70.7581,66.13,37,11,4.65,few clouds
288,Senekal,ZA,-28.3197,27.6208,57.25,43,52,1.77,broken clouds
289,Quatre Cocos,MU,-20.2078,57.7625,69.91,76,53,13.11,broken clouds
290,Deputatskiy,RU,69.3,139.9,38.35,76,95,6.38,overcast clouds
291,Guigue,VE,10.0853,-67.7792,87.62,51,40,0.11,scattered clouds
292,Salalah,OM,17.0151,54.0924,78.89,83,20,2.3,few clouds
293,Athabasca,CA,54.7169,-113.2854,63.01,48,41,19.1,scattered clouds
294,Turukhansk,RU,65.8167,87.9833,44.82,79,100,3.02,overcast clouds
295,Aksum,ET,14.1245,38.7244,59.94,82,82,3.4,light rain
296,Tubarao,BR,-28.4667,-49.0069,80.65,37,3,4.34,clear sky
297,Amalapuram,IN,16.5833,82.0167,79.23,88,70,4.81,broken clouds
298,Mahebourg,MU,-20.4081,57.7,70.09,73,40,8.05,scattered clouds
299,Zhicheng,CN,30.2956,111.5047,71.62,59,98,5.19,overcast clouds
300,Bara,NG,10.3744,10.7288,78.58,88,100,4.38,overcast clouds
301,Vetlanda,SE,57.4289,15.0776,57.4,53,58,4.18,broken clouds
302,San Cristobal,VE,7.7669,-72.225,82.58,43,16,5.37,few clouds
303,Mogadishu,SO,2.0371,45.3438,75.83,79,22,15.86,few clouds
304,Lompoc,US,34.6391,-120.4579,70.21,73,0,6.91,clear sky
305,Port Lincoln,AU,-34.7333,135.8667,53.19,51,95,12.15,overcast clouds
306,Meulaboh,ID,4.1363,96.1285,74.21,94,100,7.78,overcast clouds
307,Abha,SA,18.2164,42.5053,75.45,16,0,14.97,clear sky
308,Ixtapa,MX,20.7,-105.2,90.23,70,40,3.0,scattered clouds
309,Nalut,LY,30.3333,10.85,98.65,13,0,6.96,clear sky
310,Poum,NC,-20.2333,164.0167,73.17,75,84,15.35,broken clouds
311,Camrose,CA,53.0168,-112.8353,70.93,36,49,20.0,scattered clouds
312,Malatya,TR,38.5,38.0,80.65,21,75,8.05,broken clouds
313,Codrington,AU,-38.2667,141.9667,45.91,59,89,9.86,overcast clouds
314,Fort Nelson,CA,58.8053,-122.7002,53.19,76,20,6.91,few clouds
315,Mossendjo,CG,-2.9506,12.7261,80.47,52,100,5.46,overcast clouds
316,Bethel,US,41.3712,-73.414,83.62,41,0,11.01,clear sky
317,Brae,GB,60.3964,-1.353,55.99,73,73,6.42,broken clouds
318,Talavera De La Reina,ES,39.9635,-4.8308,89.35,14,84,14.9,broken clouds
319,Klyuchi,RU,52.2667,79.1667,68.81,49,57,8.95,broken clouds
320,Haines Junction,CA,60.7522,-137.5108,53.55,47,100,10.36,overcast clouds
321,Bambanglipuro,ID,-7.95,110.2833,75.9,89,47,5.26,scattered clouds
322,Port Macquarie,AU,-31.4333,152.9167,54.9,92,84,4.65,broken clouds
323,Paita,PE,-5.0892,-81.1144,70.11,66,57,15.61,broken clouds
324,Ormara,PK,25.2088,64.6357,80.71,81,28,12.5,scattered clouds
325,Alta Floresta,BR,-9.8756,-56.0861,102.02,19,2,5.75,smoke
326,Galle,LK,6.0367,80.217,77.27,89,100,10.18,overcast clouds
327,Huarmey,PE,-10.0681,-78.1522,67.55,66,15,12.39,few clouds
328,Alofi,NU,-19.0595,-169.9187,66.09,94,58,2.3,broken clouds
329,Balkanabat,TM,39.5108,54.3671,93.13,11,0,14.29,clear sky
330,Cabinda,AO,-5.55,12.2,77.14,78,20,6.91,few clouds
331,Upernavik,GL,72.7868,-56.1549,37.8,82,96,11.05,overcast clouds
332,San Lazaro,BZ,18.0387,-88.6622,81.75,86,97,5.28,overcast clouds
333,Abramovka,RU,51.1886,41.0202,61.83,42,99,9.1,overcast clouds
334,Clyde River,CA,70.4692,-68.5914,35.83,93,100,17.27,light rain
335,Shumikha,RU,55.2261,63.2961,69.37,55,95,7.76,light rain
336,Beringovskiy,RU,63.05,179.3167,42.62,91,100,16.64,light rain
337,Ranong,TH,9.9658,98.6348,78.84,88,65,2.71,broken clouds
338,Leningradskiy,RU,69.3833,178.4167,32.18,98,100,15.41,light snow
339,Port Pirie,AU,-33.1833,138.0167,53.69,93,3,6.44,clear sky
340,Maragogi,BR,-9.0122,-35.2225,78.03,72,35,12.3,scattered clouds
341,Moerai,PF,-22.4333,-151.3333,74.26,81,4,11.61,clear sky
342,Olinda,BR,-8.0089,-34.8553,80.33,65,40,17.27,scattered clouds
343,Antofagasta,CL,-23.65,-70.4,60.08,60,1,13.22,clear sky
344,Torbay,CA,47.6666,-52.7314,75.76,80,75,25.32,broken clouds
345,Omsukchan,RU,62.5333,155.8,46.89,85,55,6.38,broken clouds
346,Watsa,CD,3.0372,29.5355,65.41,98,98,2.19,light rain
